# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr  4 16:08:10 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_ntranspec:   Number of Transmission Spectroscopy Measurements
#
loc_rowid,pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_radj,pl_massj,pl_dens,pl_eqt,pl_ratror,rowupdate,pl_pubdate,releasedate,st_nspec,pl_ntranspec
6329,Kepler-1135 b,Kepler-1135,b,Transit,76.95921185,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6330,Kepler-1135 b,Kepler-1135,b,Transit,76.95806106,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6331,Kepler-1135 b,Kepler-1135,b,Transit,,0.302,,,,,2018-09-04,2018-10,2018-09-06,0,0
6332,Kepler-1135 b,Kepler-1135,b,Transit,76.95785700,0.165,,,,0.01755,2016-05-06,2016-05,2016-05-10,0,0
6333,Kepler-1135 b,Kepler-1135,b,Transit,76.95785700,,,,451,0.01755,2014-11-18,2014-12-04,2014-11-18,0,0
6334,Kepler-1135 b,Kepler-1135,b,Transit,76.96110000,,,,457,0.01750,2013-10-28,2014-01-08,2013-10-28,0,0
6335,Kepler-1135 b,Kepler-1135,b,Transit,76.95785700,,,,451,0.01755,2014-11-21,2014-12-18,2014-11-21,0,0
6336,Kepler-1135 b,Kepler-1135,b,Transit,76.95705600,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6337,Kepler-1135 b,Kepler-1135,b,Transit,76.95705600,,,,451,0.01841,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6338,Kepler-1135 b,Kepler-1135,b,Transit,76.95785700,,,,451,0.01755,2015-08-25,2015-09-24,2015-08-25,0,0
6339,Kepler-1136 b,Kepler-1136,b,Transit,2.36171800,,,,883,0.02100,2013-10-28,2014-01-08,2013-10-28,0,0
6340,Kepler-1136 b,Kepler-1136,b,Transit,2.36172447,,,,922,0.02156,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6341,Kepler-1136 b,Kepler-1136,b,Transit,2.36172447,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6342,Kepler-1136 b,Kepler-1136,b,Transit,2.36172433,,,,922,0.02168,2014-11-18,2014-12-04,2014-11-18,0,0
6343,Kepler-1136 b,Kepler-1136,b,Transit,2.36172124,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6344,Kepler-1136 b,Kepler-1136,b,Transit,2.36172433,0.146,,,,0.02168,2016-05-06,2016-05,2016-05-10,0,0
6345,Kepler-1136 b,Kepler-1136,b,Transit,2.36172433,,,,922,0.02168,2015-08-25,2015-09-24,2015-08-25,0,0
6346,Kepler-1136 b,Kepler-1136,b,Transit,,0.128,,,,,2018-09-04,2018-10,2018-09-06,0,0
6347,Kepler-1136 b,Kepler-1136,b,Transit,2.36172433,,,,922,0.02168,2014-11-21,2014-12-18,2014-11-21,0,0
6348,Kepler-1137 b,Kepler-1137,b,Transit,23.92107910,,,,980,0.01143,2014-11-18,2014-12-04,2014-11-18,0,0
6349,Kepler-1137 b,Kepler-1137,b,Transit,23.92120244,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6350,Kepler-1137 b,Kepler-1137,b,Transit,23.92104080,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6351,Kepler-1137 b,Kepler-1137,b,Transit,23.92104080,,,,1020,0.01396,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6352,Kepler-1137 b,Kepler-1137,b,Transit,23.92107910,,,,980,0.01143,2015-08-25,2015-09-24,2015-08-25,0,0
6353,Kepler-1137 b,Kepler-1137,b,Transit,23.92107910,0.196,,,,0.01143,2016-05-06,2016-05,2016-05-10,0,0
6354,Kepler-1137 b,Kepler-1137,b,Transit,23.92107910,,,,980,0.01143,2014-11-21,2014-12-18,2014-11-21,0,0
6355,Kepler-1137 b,Kepler-1137,b,Transit,23.92113000,,,,990,0.01450,2013-10-28,2014-01-08,2013-10-28,0,0
6356,Kepler-1137 b,Kepler-1137,b,Transit,,0.236,,,,,2018-09-04,2018-10,2018-09-06,0,0
6357,Kepler-1137 b,Kepler-1137,b,Transit,23.92117039,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6358,Kepler-1138 b,Kepler-1138,b,Transit,3.17059800,,,,1233,0.01631,2013-10-28,2014-01-08,2013-10-28,0,0
6359,Kepler-1138 b,Kepler-1138,b,Transit,3.17060005,,,,1200,0.01713,2014-11-21,2014-12-18,2014-11-21,0,0
6360,Kepler-1138 b,Kepler-1138,b,Transit,3.17060005,,,,1200,0.01713,2015-08-25,2015-09-24,2015-08-25,0,0
6361,Kepler-1138 b,Kepler-1138,b,Transit,3.17060005,0.152,,,,0.01713,2016-05-06,2016-05,2016-05-10,0,0
6362,Kepler-1138 b,Kepler-1138,b,Transit,3.17059731,,,,1080,0.01840,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6363,Kepler-1138 b,Kepler-1138,b,Transit,,0.132,,,,,2018-09-04,2018-10,2018-09-06,0,0
6364,Kepler-1138 b,Kepler-1138,b,Transit,3.17059731,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6365,Kepler-1138 b,Kepler-1138,b,Transit,3.17058760,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6366,Kepler-1138 b,Kepler-1138,b,Transit,3.17060005,,,,1200,0.01713,2014-11-18,2014-12-04,2014-11-18,0,0
6367,Kepler-1139 b,Kepler-1139,b,Transit,0.81316636,,,,1693,0.01179,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6368,Kepler-1139 b,Kepler-1139,b,Transit,,0.093,,,,,2018-09-04,2018-10,2018-09-06,0,0
6369,Kepler-1139 b,Kepler-1139,b,Transit,0.81318040,,,,1567,0.01305,2013-10-28,2014-01-08,2013-10-28,0,0
6370,Kepler-1139 b,Kepler-1139,b,Transit,0.81316672,,,,1613,0.01204,2014-11-21,2014-12-18,2014-11-21,0,0
6371,Kepler-1139 b,Kepler-1139,b,Transit,0.81316672,,,,1613,0.01204,2015-08-25,2015-09-24,2015-08-25,0,0
6372,Kepler-1139 b,Kepler-1139,b,Transit,0.81316636,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6373,Kepler-1139 b,Kepler-1139,b,Transit,0.81316672,0.106,,,,0.01204,2016-05-06,2016-05,2016-05-10,0,0
6374,Kepler-1139 b,Kepler-1139,b,Transit,0.81316672,,,,1613,0.01204,2014-11-18,2014-12-04,2014-11-18,0,0
6375,Kepler-1139 b,Kepler-1139,b,Transit,0.81316909,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6376,Kepler-114 b,Kepler-114,b,Transit,5.18900000,0.091,0.02100,,,,2014-05-28,2014-05,2014-05-28,0,0
6377,Kepler-114 b,Kepler-114,b,Transit,5.18856368,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6378,Kepler-114 b,Kepler-114,b,Transit,5.18856176,,,,587,0.01688,2014-11-21,2014-12-18,2014-11-21,0,0
6379,Kepler-114 b,Kepler-114,b,Transit,5.18848874,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6380,Kepler-114 b,Kepler-114,b,Transit,5.18854900,0.112,,,,,2014-05-14,2014-03,2014-05-14,0,0
6381,Kepler-114 b,Kepler-114,b,Transit,5.18856176,,,,587,0.01688,2015-08-25,2015-09-24,2015-08-25,0,0
6382,Kepler-114 b,Kepler-114,b,Transit,5.18856137,0.093,,,,,2015-11-18,2015-07,2015-11-19,0,0
6383,Kepler-114 b,Kepler-114,b,Transit,5.18856368,,,,586,0.01704,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6384,Kepler-114 b,Kepler-114,b,Transit,5.18856176,0.118,,,,0.01688,2016-05-06,2016-05,2016-05-10,0,0
6385,Kepler-114 b,Kepler-114,b,Transit,,0.119,,,,,2018-09-04,2018-10,2018-09-06,0,0
6386,Kepler-114 b,Kepler-114,b,Transit,5.18854800,,,,722,0.01654,2013-10-28,2014-01-08,2013-10-28,0,0
6387,Kepler-114 b,Kepler-114,b,Transit,5.18855617,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6388,Kepler-114 b,Kepler-114,b,Transit,5.18856176,,,,587,0.01688,2014-11-18,2014-12-04,2014-11-18,0,0
6389,Kepler-114 b,Kepler-114,b,Transit,5.18856001,0.105,,,588,0.02000,2016-02-24,2012-05,2016-02-25,0,0
6390,Kepler-114 c,Kepler-114,c,Transit,8.04133121,,,,507,0.02178,2015-08-25,2015-09-24,2015-08-25,0,0
6391,Kepler-114 c,Kepler-114,c,Transit,8.04133121,,,,507,0.02178,2014-11-18,2014-12-04,2014-11-18,0,0
6392,Kepler-114 c,Kepler-114,c,Transit,8.04133121,0.152,,,,0.02178,2016-05-06,2016-05,2016-05-10,0,0
6393,Kepler-114 c,Kepler-114,c,Transit,,0.153,,,,,2018-09-04,2018-10,2018-09-06,0,0
6394,Kepler-114 c,Kepler-114,c,Transit,8.04133337,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6395,Kepler-114 c,Kepler-114,c,Transit,8.04133834,0.124,,,,,2015-11-18,2015-07,2015-11-19,0,0
6396,Kepler-114 c,Kepler-114,c,Transit,8.04134778,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6397,Kepler-114 c,Kepler-114,c,Transit,8.04100000,0.115,0.12600,,,,2014-05-28,2014-05,2014-05-28,0,0
6398,Kepler-114 c,Kepler-114,c,Transit,8.04100000,0.143,0.00900,,,,2014-05-14,2014-02,2014-05-14,0,0
6399,Kepler-114 c,Kepler-114,c,Transit,8.04131700,,,,623,0.02240,2013-10-28,2014-01-08,2013-10-28,0,0
6400,Kepler-114 c,Kepler-114,c,Transit,8.04134323,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6401,Kepler-114 c,Kepler-114,c,Transit,8.04144001,0.121,,,508,0.02300,2016-02-24,2012-05,2016-02-25,0,0
6402,Kepler-114 c,Kepler-114,c,Transit,8.04134778,,,,507,0.02196,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6403,Kepler-114 c,Kepler-114,c,Transit,8.04133121,,,,507,0.02178,2014-11-21,2014-12-18,2014-11-21,0,0
6404,Kepler-114 d,Kepler-114,d,Transit,11.77613480,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6405,Kepler-114 d,Kepler-114,d,Transit,11.77600000,0.226,0.01200,,,,2014-05-14,2014-02,2014-05-14,0,0
6406,Kepler-114 d,Kepler-114,d,Transit,11.77613232,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6407,Kepler-114 d,Kepler-114,d,Transit,11.77613846,,,,447,0.03471,2014-11-18,2014-12-04,2014-11-18,0,0
6408,Kepler-114 d,Kepler-114,d,Transit,11.77613846,0.242,,,,0.03471,2016-05-06,2016-05,2016-05-10,0,0
6409,Kepler-114 d,Kepler-114,d,Transit,11.77614238,0.180,,,,,2015-11-18,2015-07,2015-11-19,0,0
6410,Kepler-114 d,Kepler-114,d,Transit,11.77613041,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6411,Kepler-114 d,Kepler-114,d,Transit,11.77614700,,,,549,0.03550,2013-10-28,2014-01-08,2013-10-28,0,0
6412,Kepler-114 d,Kepler-114,d,Transit,11.77613232,,,,446,0.03535,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6413,Kepler-114 d,Kepler-114,d,Transit,11.77600000,,,,,,2014-05-28,2014-05,2014-05-28,0,0
6414,Kepler-114 d,Kepler-114,d,Transit,,0.246,,,,,2018-09-04,2018-10,2018-09-06,0,0
6415,Kepler-114 d,Kepler-114,d,Transit,11.77613846,,,,447,0.03471,2014-11-21,2014-12-18,2014-11-21,0,0
6416,Kepler-114 d,Kepler-114,d,Transit,11.77613846,,,,447,0.03471,2015-08-25,2015-09-24,2015-08-25,0,0
6417,Kepler-114 d,Kepler-114,d,Transit,11.77617931,0.174,,,447,0.03300,2016-02-24,2012-05,2016-02-25,0,0
6418,Kepler-1140 b,Kepler-1140,b,Transit,24.08638000,,,,504,0.03100,2013-10-28,2014-01-08,2013-10-28,0,0
6419,Kepler-1140 b,Kepler-1140,b,Transit,24.08632177,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6420,Kepler-1140 b,Kepler-1140,b,Transit,24.08627070,0.247,,,,0.03496,2016-05-06,2016-05,2016-05-10,0,0
6421,Kepler-1140 b,Kepler-1140,b,Transit,24.08627070,,,,500,0.03496,2014-11-21,2014-12-18,2014-11-21,0,0
6422,Kepler-1140 b,Kepler-1140,b,Transit,24.08627070,,,,500,0.03496,2014-11-18,2014-12-04,2014-11-18,0,0
6423,Kepler-1140 b,Kepler-1140,b,Transit,24.08632177,,,,500,0.03319,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6424,Kepler-1140 b,Kepler-1140,b,Transit,24.08627070,,,,500,0.03496,2015-08-25,2015-09-24,2015-08-25,0,0
6425,Kepler-1140 b,Kepler-1140,b,Transit,,0.233,,,,,2018-09-04,2018-10,2018-09-06,0,0
6426,Kepler-1140 b,Kepler-1140,b,Transit,24.08617600,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6427,Kepler-1140 b,Kepler-1140,b,Transit,24.08595566,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6428,Kepler-1141 b,Kepler-1141,b,Transit,2.34451194,,,,1490,0.00704,2014-11-18,2014-12-04,2014-11-18,0,0
6429,Kepler-1141 b,Kepler-1141,b,Transit,2.34451194,0.073,,,,0.00704,2016-05-06,2016-05,2016-05-10,0,0
6430,Kepler-1141 b,Kepler-1141,b,Transit,2.34451194,,,,1490,0.00704,2014-11-21,2014-12-18,2014-11-21,0,0
6431,Kepler-1141 b,Kepler-1141,b,Transit,2.34451259,,,,1471,0.00784,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6432,Kepler-1141 b,Kepler-1141,b,Transit,2.34450643,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6433,Kepler-1141 b,Kepler-1141,b,Transit,,0.087,,,,,2018-09-04,2018-10,2018-09-06,0,0
6434,Kepler-1141 b,Kepler-1141,b,Transit,2.34451259,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6435,Kepler-1141 b,Kepler-1141,b,Transit,2.34454700,,,,1318,0.00738,2013-10-28,2014-01-08,2013-10-28,0,0
6436,Kepler-1141 b,Kepler-1141,b,Transit,2.34451194,,,,1490,0.00704,2015-08-25,2015-09-24,2015-08-25,0,0
6437,Kepler-1142 b,Kepler-1142,b,Transit,18.30305301,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6438,Kepler-1142 b,Kepler-1142,b,Transit,,0.235,,,,,2018-09-04,2018-10,2018-09-06,0,0
6439,Kepler-1142 b,Kepler-1142,b,Transit,18.30272350,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6440,Kepler-1142 b,Kepler-1142,b,Transit,18.30216000,,,,642,0.01230,2013-10-28,2014-01-08,2013-10-28,0,0
6441,Kepler-1142 b,Kepler-1142,b,Transit,18.30272480,,,,629,0.01398,2014-11-18,2014-12-04,2014-11-18,0,0
6442,Kepler-1142 b,Kepler-1142,b,Transit,18.30267831,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6443,Kepler-1142 b,Kepler-1142,b,Transit,18.30272480,,,,629,0.01398,2015-08-25,2015-09-24,2015-08-25,0,0
6444,Kepler-1142 b,Kepler-1142,b,Transit,18.30272350,,,,902,0.01353,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6445,Kepler-1142 b,Kepler-1142,b,Transit,18.30272480,0.131,,,,0.01398,2016-05-06,2016-05,2016-05-10,0,0
6446,Kepler-1142 b,Kepler-1142,b,Transit,18.30272480,,,,629,0.01398,2014-11-21,2014-12-18,2014-11-21,0,0
6447,Kepler-1143 b,Kepler-1143,b,Transit,,0.135,,,,,2018-09-04,2018-10,2018-09-06,0,0
6448,Kepler-1143 b,Kepler-1143,b,Transit,2.88890444,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6449,Kepler-1143 b,Kepler-1143,b,Transit,2.88890444,,,,976,0.02032,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6450,Kepler-1143 b,Kepler-1143,b,Transit,2.88890485,0.149,,,,0.01974,2016-05-06,2016-05,2016-05-10,0,0
6451,Kepler-1143 b,Kepler-1143,b,Transit,2.88890485,,,,959,0.01974,2014-11-18,2014-12-04,2014-11-18,0,0
6452,Kepler-1143 b,Kepler-1143,b,Transit,2.88890485,,,,959,0.01974,2014-11-21,2014-12-18,2014-11-21,0,0
6453,Kepler-1143 b,Kepler-1143,b,Transit,2.88890485,,,,959,0.01974,2015-08-25,2015-09-24,2015-08-25,0,0
6454,Kepler-1143 b,Kepler-1143,b,Transit,2.88887000,,,,970,0.01840,2013-10-28,2014-01-08,2013-10-28,0,0
6455,Kepler-1143 b,Kepler-1143,b,Transit,2.88890033,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6456,Kepler-1143 c,Kepler-1143,c,Transit,210.63148600,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6457,Kepler-1143 c,Kepler-1143,c,Transit,210.63059100,0.321,,,,0.04306,2016-05-06,2016-05,2016-05-10,0,0
6458,Kepler-1143 c,Kepler-1143,c,Transit,210.63148600,,,,234,0.03892,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6459,Kepler-1143 c,Kepler-1143,c,Transit,,0.258,,,,,2018-09-04,2018-10,2018-09-06,0,0
6460,Kepler-1143 c,Kepler-1143,c,Transit,210.63059100,,,,230,0.04306,2015-08-25,2015-09-24,2015-08-25,0,0
6461,Kepler-1143 c,Kepler-1143,c,Transit,210.62945497,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6462,Kepler-1143 c,Kepler-1143,c,Transit,210.63059100,,,,230,0.04306,2014-11-21,2014-12-18,2014-11-21,0,0
6463,Kepler-1144 b,Kepler-1144,b,Transit,17.14647302,,,,686,0.01943,2014-11-18,2014-12-04,2014-11-18,0,0
6464,Kepler-1144 b,Kepler-1144,b,Transit,,0.253,,,,,2018-09-04,2018-10,2018-09-06,0,0
6465,Kepler-1144 b,Kepler-1144,b,Transit,17.14651548,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6466,Kepler-1144 b,Kepler-1144,b,Transit,17.14648756,,,,811,0.02359,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6467,Kepler-1144 b,Kepler-1144,b,Transit,17.14647302,0.178,,,,0.01943,2016-05-06,2016-05,2016-05-10,0,0
6468,Kepler-1144 b,Kepler-1144,b,Transit,17.14633374,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6469,Kepler-1144 b,Kepler-1144,b,Transit,17.14647302,,,,686,0.01943,2014-11-21,2014-12-18,2014-11-21,0,0
6470,Kepler-1144 b,Kepler-1144,b,Transit,17.14648756,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6471,Kepler-1144 b,Kepler-1144,b,Transit,17.14647302,,,,686,0.01943,2015-08-25,2015-09-24,2015-08-25,0,0
6472,Kepler-1144 b,Kepler-1144,b,Transit,17.14624000,,,,661,0.01840,2013-10-28,2014-01-08,2013-10-28,0,0
6473,Kepler-1145 b,Kepler-1145,b,Transit,3.97076603,,,,958,0.01888,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6474,Kepler-1145 b,Kepler-1145,b,Transit,3.97076766,,,,957,0.01708,2014-11-18,2014-12-04,2014-11-18,0,0
6475,Kepler-1145 b,Kepler-1145,b,Transit,3.97076404,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6476,Kepler-1145 b,Kepler-1145,b,Transit,3.97076603,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6477,Kepler-1145 b,Kepler-1145,b,Transit,3.97076766,,,,957,0.01708,2014-11-21,2014-12-18,2014-11-21,0,0
6478,Kepler-1145 b,Kepler-1145,b,Transit,3.97080500,,,,965,0.01850,2013-10-28,2014-01-08,2013-10-28,0,0
6479,Kepler-1145 b,Kepler-1145,b,Transit,3.97076766,,,,957,0.01708,2015-08-25,2015-09-24,2015-08-25,0,0
6480,Kepler-1145 b,Kepler-1145,b,Transit,3.97076766,0.125,,,,0.01708,2016-05-06,2016-05,2016-05-10,0,0
6481,Kepler-1146 b,Kepler-1146,b,Transit,2.35226418,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6482,Kepler-1146 b,Kepler-1146,b,Transit,,0.109,,,,,2018-09-04,2018-10,2018-09-06,0,0
6483,Kepler-1146 b,Kepler-1146,b,Transit,2.35226580,,,,1027,0.01631,2014-11-21,2014-12-18,2014-11-21,0,0
6484,Kepler-1146 b,Kepler-1146,b,Transit,2.35226580,,,,1027,0.01631,2015-08-25,2015-09-24,2015-08-25,0,0
6485,Kepler-1146 b,Kepler-1146,b,Transit,2.35223700,,,,967,0.01600,2013-10-28,2014-01-08,2013-10-28,0,0
6486,Kepler-1146 b,Kepler-1146,b,Transit,2.35226580,0.110,,,,0.01631,2016-05-06,2016-05,2016-05-10,0,0
6487,Kepler-1146 b,Kepler-1146,b,Transit,2.35227391,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6488,Kepler-1146 b,Kepler-1146,b,Transit,2.35227391,,,,1019,0.01579,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6489,Kepler-1146 b,Kepler-1146,b,Transit,2.35226580,,,,1027,0.01631,2014-11-18,2014-12-04,2014-11-18,0,0
6490,Kepler-1147 b,Kepler-1147,b,Transit,10.62784997,,,,871,0.02075,2014-11-18,2014-12-04,2014-11-18,0,0
6491,Kepler-1147 b,Kepler-1147,b,Transit,10.62784997,,,,871,0.02075,2015-08-25,2015-09-24,2015-08-25,0,0
6492,Kepler-1147 b,Kepler-1147,b,Transit,10.62787960,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6493,Kepler-1147 b,Kepler-1147,b,Transit,10.62784997,0.233,,,,0.02075,2016-05-06,2016-05,2016-05-10,0,0
6494,Kepler-1147 b,Kepler-1147,b,Transit,,0.205,,,,,2018-09-04,2018-10,2018-09-06,0,0
6495,Kepler-1147 b,Kepler-1147,b,Transit,10.62784997,,,,871,0.02075,2014-11-21,2014-12-18,2014-11-21,0,0
6496,Kepler-1147 b,Kepler-1147,b,Transit,10.62797683,,,,,,2016-07-26,2016-07,2016-07-28,0,0
6497,Kepler-1147 b,Kepler-1147,b,Transit,10.62788695,,,,872,0.01692,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6498,Kepler-1147 b,Kepler-1147,b,Transit,10.62788695,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6499,Kepler-1147 b,Kepler-1147,b,Transit,10.62879000,,,,871,0.01945,2013-10-28,2014-01-08,2013-10-28,0,0
6500,Kepler-1148 b,Kepler-1148,b,Transit,1.10446287,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6501,Kepler-1148 b,Kepler-1148,b,Transit,1.10446351,,,,1396,0.01998,2014-11-21,2014-12-18,2014-11-21,0,0
6502,Kepler-1148 b,Kepler-1148,b,Transit,1.10445470,,,,1362,0.01940,2013-10-28,2014-01-08,2013-10-28,0,0
6503,Kepler-1148 b,Kepler-1148,b,Transit,1.10446249,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6504,Kepler-1148 b,Kepler-1148,b,Transit,,0.136,,,,,2018-09-04,2018-10,2018-09-06,0,0
6505,Kepler-1148 b,Kepler-1148,b,Transit,1.10446351,,,,1396,0.01998,2014-11-18,2014-12-04,2014-11-18,0,0
6506,Kepler-1148 b,Kepler-1148,b,Transit,1.10446351,,,,1396,0.01998,2015-08-25,2015-09-24,2015-08-25,0,0
6507,Kepler-1148 b,Kepler-1148,b,Transit,1.10446249,,,,1397,0.01952,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6508,Kepler-1148 b,Kepler-1148,b,Transit,1.10446351,0.151,,,,0.01998,2016-05-06,2016-05,2016-05-10,0,0
6509,Kepler-1149 b,Kepler-1149,b,Transit,3.73092700,,,,1106,0.01453,2013-10-28,2014-01-08,2013-10-28,0,0
6510,Kepler-1149 b,Kepler-1149,b,Transit,3.73091716,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6511,Kepler-1149 b,Kepler-1149,b,Transit,3.73090026,,,,1128,0.01425,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6512,Kepler-1149 b,Kepler-1149,b,Transit,,0.172,,,,,2018-09-04,2018-10,2018-09-06,0,0
6513,Kepler-1149 b,Kepler-1149,b,Transit,3.73089898,,,,1115,0.01332,2014-11-21,2014-12-18,2014-11-21,0,0
6514,Kepler-1149 b,Kepler-1149,b,Transit,3.73089898,0.128,,,,0.01332,2016-05-06,2016-05,2016-05-10,0,0
6515,Kepler-1149 b,Kepler-1149,b,Transit,3.73090026,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6516,Kepler-1149 b,Kepler-1149,b,Transit,3.73089898,,,,1115,0.01332,2014-11-18,2014-12-04,2014-11-18,0,0
6517,Kepler-1149 b,Kepler-1149,b,Transit,3.73089898,,,,1115,0.01332,2015-08-25,2015-09-24,2015-08-25,0,0
6518,Kepler-115 b,Kepler-115,b,Transit,2.40364070,,,,,,2018-09-25,2018-08-16,2018-09-25,0,0
6519,Kepler-115 b,Kepler-115,b,Transit,2.40367900,0.097,,,,,2014-05-14,2014-03,2014-05-14,0,0
6520,Kepler-115 b,Kepler-115,b,Transit,2.40366716,,,,,,2019-04-16,2019-03,2019-04-18,0,0
6521,Kepler-115 b,Kepler-115,b,Transit,2.40364330,,,,1459,0.00843,2014-11-21,2014-12-18,2014-11-21,0,0
6522,Kepler-115 b,Kepler-115,b,Transit,2.40364330,0.089,,,,0.00843,2016-05-06,2016-05,2016-05-10,0,0
6523,Kepler-115 b,Kepler-115,b,Transit,2.40365400,,,,1540,0.01025,2013-10-28,2014-01-08,2013-10-28,0,0
6524,Kepler-115 b,Kepler-115,b,Transit,2.40364070,,,,1489,0.00967,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6525,Kepler-115 b,Kepler-115,b,Transit,,0.108,,,,,2018-09-04,2018-10,2018-09-06,0,0
6526,Kepler-115 b,Kepler-115,b,Transit,2.40364330,,,,1459,0.00843,2014-11-18,2014-12-04,2014-11-18,0,0
6527,Kepler-115 b,Kepler-115,b,Transit,2.40364330,,,,1459,0.00843,2015-08-25,2015-09-24,2015-08-25,0,0
6528,Kepler-115 c,Kepler-115,c,Transit,,0.243,,,,,2018-09-04,2018-10,2018-09-06,0,0
6529,Kepler-115 c,Kepler-115,c,Transit,8.99088621,,,,960,0.02171,2017-05-08,2017-08-31 00:00,2017-05-08,0,0
6530,Kepler-115 c,Kepler-115,c,Transit,8.99088871,0.223,,,,0.01969,2016-05-06,2016-05,2016-05-10,0,0
6531,Kepler-115 c,Kepler-115,c,Transit,8.99088900,0.232,,,,,2014-05-14,2014-03,2014-05-14,0,0
6532,Kepler-115 c,Kepler-115,c,Transit,8.99088871,,,,939,0.01969,2014-11-18,2014-12-04,2014-11-18,0,0
6533,Kepler-115 c,Kepler-115,c,Transit,8.99090059,,,,,,2016-07-26,2016-07,2016-07-28,0,0
